Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
I enjoy sci fi and AI. This show is very interesting to me,enjoy sci/enjoy/sci/show/interesting,sci fi,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,,,,"
the characters are well selected. They can act and i feel engaged with the storyline,well selected/selected/characters/well/characters are well,characters,"Appealing characters/I like the characters,Good acting,Interesting/engaging,,,,"
perspectives of both the androids and the humans is appealing to me. The plot twist will leave you wondering whats next.,perspectives/androids/humans/appealing/plot twist,plot twist/perspectives,"Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,,,,,"
love this series,love/series/love this series,,"Good/like the show/everything,,,,,,"
"The acting, the writing, and I love that it makes you pay attention and think.",pay attention/acting/writing/think/attention and think,acting,"Good acting,Like the writing/dialog,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
Nothing,nothing,,"None/no answer,,,,,,"
i love the characters in the movire,love the characters/movire/love/characters,,"Appealing characters/I like the characters,,,,,,"
It has a thrilling and dramatic storyline that is unique and is never predictable.,never predictable/dramatic storyline/predictable/thrilling/dramatic,dramatic storyline,"Suspense/Mystery/thrillers,Like the drama,Good storyline/subject matter,Unique/different,,,"
"It is very confusing, overall, but trying to figure it out is interesting. It is a bit like the show Lost in that way. I like the idea of AI and especially the character of Dolores.",overall/show lost/confusing/interesting/trying,show/bit/interesting/overall/confusing,"Thought provoking,Interesting/engaging,Technological aspects (inclusion of robots, exploring AI, etc.),Like the character Dolores Abernathy,,,"
Proragonist and Antagonist co frontation,antagonist/proragonist/frontation/proragonist and antagonist/antagonist co frontation,antagonist co,"Other misc. mentions,,,,,,"
Unique ness,unique ness/unique/ness,unique,"Unique/different,,,,,,"
"It is unique, grasping, intelligent, interesting, with a lot of twists and turns",grasping/intelligent/interesting/unique/turns,intelligent/grasping/unique,"Unique/different,Attention grabbing/holds interest/keeps you wanting to watch more,Other show characteristic mentions,Interesting/engaging,Suspense/Mystery/thrillers,,"
It's a surprise at every turn. You're not sure whose right and who's wrong,every turn/wrong/turn/surprise/every,turn/surprise,"Suspense/Mystery/thrillers,,,,,,"
Aaron Paul is what made me watch it in the first place. I like the story lines that makes the show interesting every week.,aaron paul/first place/interesting every week/paul/show interesting every,first place/aaron paul,"Like Aaron Paul,Good storyline/subject matter,Interesting/engaging,,,,"
You don't always know who is good or bad.,always know/always/bad/good or bad/know,good,"Suspense/Mystery/thrillers,,,,,,"
"A lot of my friends watch this show, so I like that we can get together and talk about it.",friends watch/get together/show/watch this show/lot,lot,"Heard good review/recommendations by family/friends,,,,,,"
I watched the original Westworld in the seventies. I like seeing the updated and recreation of that brand. I like the premise of A.I or robots turning on humans. I like the setting of an amusement park where I think people become more entitled and self absorbed. It’s a very interesting setting to have artificial turn on humans. I like the unsettling nature of the show and the survival aspect. I kind of like the darkness of the stories.,original westworld/like/westworld/like seeing/seventies,unsettling nature/artificial turn/interesting setting/amusement park/original westworld,"Already seen/like the original movie,Other misc. mentions,Technological aspects (inclusion of robots, exploring AI, etc.),Like the concept/idea of futuristic amusement park,Like the premise/setting/scenery,Technology involvement/overpowering human life,Dark/sarcastic"
I like the characters and the genre of the show that keeps me captivated snd want to watch,captivated snd want/like the characters/captivated snd/snd want/watch,characters,"Appealing characters/I like the characters,Like the genre,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
I love the story line and the characters. It has a very interesting plot and my wife and i don't miss it every week,story line/characters/love/story/line,story line/interesting,"Like the writing/dialog,Appealing characters/I like the characters,Interesting/engaging,Like the premise/setting/scenery,,,"
"i think it is a completly different narative than other shows i usually watch, i like the tech part of it",completly different narative/usually watch/completly different/different narative/tech part,different narative/other,"Unique/different,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
Interesting concept,interesting concept/interesting/concept,interesting,"Interesting/engaging,,,,,,"
Liked the original movie,original movie/liked/movie/liked the original/original,original,"Already seen/like the original movie,,,,,,"
The combination of simple western storylines along with hi-tech artificial intelligence is great. Especially that the AI characters evolve. Their evolution takes place over time through multiple episodes.,tech artificial intelligence/simple western storylines/western storylines along/tech artificial/simple western,simple western storylines/multiple episodes/ai characters/artificial,"Western aspect,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
I think that the plot twists and the way that the show makes us wonder about may or not be real is very engaging. The show is also very well written and visually well shot. I think it is the most inventive show on television today.,plot twists/show makes/visually well shot/show/engaging,inventive show/plot twists/television/show,"Suspense/Mystery/thrillers,Interesting/engaging,Like the writing/dialog,Good visuals/graphics/special effects,Creative/innovative/modern,,"
The character's,character,,"Appealing characters/I like the characters,,,,,,"
the importance of music and architecture in creating a world outside of ours,world outside/importance/music/architecture/creating,music/importance,"Other High quality production values Mentions,,,,,,"
the concept of a place like this existing and what things may go wrong,place like/things may/wrong/may go wrong/concept,concept,"Other storyline/Plot mentions,,,,,,"
its good show,good show/show/good,good,"Good/like the show/everything,,,,,,"
yes westworld is the best,yes westworld/yes/best/westworld,westworld,"Good/like the show/everything,,,,,,"
"the cast and the plot itself, really intense",really intense/really/intense/cast/plot,cast,"Good cast/actors,Good storyline/subject matter,Intense/serious,,,,"
