Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
I remember seeing the movie when I was younger. This is a good adaptation of it.,remember seeing/younger/remember/seeing/movie,remember seeing/younger/movie,good adaptation,good adaptation,"Good/like the show/everything,,,,,,"
The characters and the storyline,storyline/characters,storyline/characters,characters,characters,"Appealing characters/I like the characters,Good storyline/subject matter,,,,,"
I have only seen one show but I guess the fact that it pertains to science fiction.,seen one show/one show/seen one/show/science fiction,seen one show/science fiction,science fiction,science fiction,"Have not watched enough to comment/not familiar with the show,Science fiction/fantasy,,,,,"
The plot,plot,plot,,,"Good storyline/subject matter,,,,,,"
Fun,fun,fun,,,"Witty/humorous/funny/entertaining,,,,,,"
it has such a good storyline and great characters!,great characters/good storyline/characters/good/storyline,great characters/good storyline,good storyline,good storyline,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The plot and storyline,storyline/plot and storyline/plot,plot and storyline,plot,plot,"Good storyline/subject matter,,,,,,"
Dolores’ storyline. She is a strong feminine chsracter,dolores/storyline/feminine chsracter/chsracter/strong feminine chsracter,dolores/storyline/strong feminine chsracter,strong feminine,strong feminine,"Like the character Dolores Abernathy,Good storyline/subject matter,,,,,"
ajdflajdfkjsadf;js;fsjaf,None,None,,,"None/no answer,,,,,,"
"High quality, interesting story",high quality/interesting story/high/quality/interesting,high quality/interesting story,high quality,high quality,"High quality show/high production values,Interesting/engaging,Good storyline/subject matter,,,,"
Good flick,good flick/good/flick,good flick,good,good,"Good/like the show/everything,,,,,,"
A good show offers an escape from the real world without being stupid and/or too complicated.,good show offers/real world without/good show/show offers/real world,good show offers/real world without,good show/real,good show/real,"Good/like the show/everything,Other show characteristic mentions,,,,,"
nothing,nothing,nothing,,,"None/no answer,,,,,,"
My husband watches it and I see some of the show while he watches it.,husband watches/watches/husband/see/show,husband watches/see/show,husband,husband,"Have not watched enough to comment/not familiar with the show,,,,,,"
"The appealing action, story, show",story/show/appealing action/action/appealing,story/show/appealing action,appealing action,appealing action,"Like the action/adventurous,Good storyline/subject matter,Good/like the show/everything,,,,"
It’s visually stunning with compelling characters and fantastic premise but so damn hard to follow. I usually have to watch each episode twice to understand what happened,visually stunning/compelling characters/fantastic premise/damn hard/visually,visually stunning/compelling characters/fantastic premise/damn hard,compelling characters/fantastic,compelling characters/fantastic,"Attention grabbing/holds interest/keeps you wanting to watch more,Appealing characters/I like the characters,Good storyline/subject matter,,,,"
"This third season lost all of its charm to me. The end of the second season was so confusing, and the beginning of this one is not interesting. Super disappointed.. will probably not watch the rest of this season",third season lost/third season/season lost/season/third,third season lost,second season/third season/season/end/charm,second season/third season/end/charm,"All negative mentions,,,,,,"
Nothing,nothing,nothing,,,"None/no answer,,,,,,"
The special effects and acting are good.,special effects/good/acting are good/special/effects,special effects/acting are good,special effects,special effects,"Good visuals/graphics/special effects,Good acting,,,,,"
The look into the future. The cast is great actors.,future/great actors/look/actors/cast,future/great actors/look/cast,great actors,great actors,"Futuristic,Good cast/actors,,,,,"
It's ciol,ciol,ciol,,,"Good/like the show/everything,,,,,,"
The fact that it integrates elements of westerns into it.,integrates elements/fact/integrates/elements/westerns,integrates elements/fact/westerns,fact,fact,"Western aspect,,,,,,"
"Heard good things including cast, writing & special effects",heard good things/things including cast/special effects/good things including/writing,heard good things/things including cast/special effects/good things including/writing,good things/special,good things/special,"Heard good review/recommendations by family/friends,Good cast/actors,Like the writing/dialog,Good visuals/graphics/special effects,,,"
Not sure,sure,sure,,,"Don't know,,,,,,"
Very funny,funny,funny,,,"Witty/humorous/funny/entertaining,,,,,,"
Its a good show because it allows you to see what could be.,good show/good/show/allows/see,good show/allows/see,good,good,"Good/like the show/everything,Futuristic,,,,,"
i like to imagine how our progress is inevitably our destruction,destruction/inevitably our destruction/like/imagine/progress,inevitably our destruction/like/imagine/progress,progress,progress,"Science fiction/fantasy,Other realistic/association with real life mentions,,,,,"
it is very futirwitic to me and an escape,escape/futirwitic,escape/futirwitic,futirwitic,futirwitic,"Futuristic,Other misc. mentions,,,,,"
the evolution of humans and robots and how we are becoming so intertwined,humans and robots/intertwined/becoming so intertwined/evolution/humans,humans and robots/becoming so intertwined/evolution,humans/evolution,humans/evolution,"Technology involvement/overpowering human life,,,,,,"
I am a big fan of the science fiction genre and Westworld has great acting and graphics,science fiction genre/big fan/science fiction/fiction genre/great acting,science fiction genre/big fan/great acting,big fan/fiction/great,big fan/fiction/great,"Science fiction/fantasy,Good acting,Good visuals/graphics/special effects,,,,"
"The series delves deep into the ethics of artificial intelligence,I like it for that",series delves deep/artificial intelligence/series delves/delves deep/intelligence,series delves deep/artificial intelligence,artificial intelligence,artificial intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
bring more actresses,bring/actresses/bring more actresses,bring more actresses,more,more,"All negative mentions,,,,,,"
It makes me happy when I watch it,makes/happy/watch/makes me happy,watch/makes me happy,,,"Witty/humorous/funny/entertaining,,,,,,"
"I've been hooked since the beginning of season 1. The show is mesmerizing, outstanding cast, acting and writing. Just love it. I've not yet watched season 3 it's on my DVR but plan to start it very soon.",hooked since/outstanding cast/hooked/since/beginning,hooked since/outstanding cast/beginning,outstanding cast/season/beginning,outstanding cast/season/beginning,"Good/like the show/everything,Good cast/actors,Good acting,Like the writing/dialog,Have not watched enough to comment/not familiar with the show,,"
"It continues a narrativre and how AI is evolving into ""real"" peoplw",real/peoplw/continues/narrativre/evolving,real/peoplw/continues/narrativre/evolving,ai/narrativre,ai/narrativre,"Other realistic/association with real life mentions,,,,,,"
